,Age,GameGenre,PlayTimeHours,SessionsPerWeek,AvgSessionDurationMinutes
253,31,Simulation,16,17,52
254,42,Simulation,9,7,107
255,44,Simulation,2,17,174
256,43,Simulation,8,19,33
257,20,Sports,9,5,68
258,49,Strategy,9,9,42
259,38,Strategy,13,15,165
260,43,RPG,10,12,10
261,45,Sports,17,18,66
262,49,RPG,14,17,65
263,47,RPG,12,9,140
264,35,Strategy,18,11,56
265,46,Simulation,22,4,28
266,37,Action,5,6,104
267,47,Sports,18,17,14
268,17,Simulation,10,0,60
269,32,RPG,13,17,44
270,39,Action,19,17,57
271,45,Simulation,13,0,121
272,17,Strategy,4,2,93
273,38,Sports,23,0,146
274,46,Strategy,20,8,92
275,36,RPG,2,2,146
276,37,RPG,4,2,14
277,16,Simulation,8,10,127
278,41,RPG,11,10,87
279,16,Action,3,0,24
280,40,Action,10,1,145
281,31,RPG,10,5,158
282,47,Simulation,6,7,162
283,23,Action,3,14,12
284,43,Sports,3,2,179
285,40,Simulation,19,10,101
286,49,Simulation,19,8,87
287,39,Action,0,7,146
288,38,RPG,5,6,59
289,27,Strategy,0,16,124
290,21,Sports,3,1,45
291,34,Strategy,1,4,20
292,15,Simulation,18,12,56
293,22,Action,8,16,71
294,30,RPG,16,2,44
295,28,Simulation,12,17,82
296,26,Sports,5,11,55
297,37,Simulation,11,12,79
298,29,Sports,5,11,107
299,42,RPG,8,18,107
300,48,Sports,21,12,178
301,16,Sports,19,13,45
302,46,Action,10,9,108
303,37,RPG,4,15,70
304,36,Simulation,3,19,43
305,39,Simulation,15,0,158
306,36,RPG,11,2,86
307,36,Strategy,12,7,156
308,20,RPG,1,6,168
309,29,RPG,9,12,28
310,47,Sports,8,5,46
311,22,Sports,6,0,133
312,19,Sports,18,5,64
313,18,Simulation,3,6,83
314,20,Action,18,2,64
315,46,Strategy,2,16,77
316,44,Sports,3,8,125
317,49,Strategy,12,10,69
318,30,Strategy,13,6,79
319,27,Action,23,0,39
320,44,Action,14,6,160
321,33,Simulation,13,12,21
322,31,RPG,4,1,166
323,33,Action,2,9,56
324,42,Sports,18,11,70
325,40,RPG,18,14,94
326,40,Strategy,10,15,80
327,37,Simulation,1,15,23
328,23,RPG,11,10,174
329,26,Action,9,16,66
330,15,Strategy,17,16,96
331,15,RPG,13,15,167
332,48,Action,3,8,87
333,46,Strategy,4,13,74
334,39,Action,3,4,114
335,15,Strategy,8,15,173
336,30,Sports,6,17,48
337,19,Sports,6,14,161
338,36,Simulation,10,13,73
339,43,Strategy,19,2,138
340,17,Simulation,7,4,151
341,26,Action,7,9,104
342,40,Simulation,11,2,64
343,30,RPG,7,7,91
344,36,Action,14,18,60
345,43,Simulation,1,3,177
346,28,RPG,5,14,44
347,42,Action,18,7,32
348,19,Strategy,20,4,113
349,44,Simulation,10,4,92
350,19,Action,5,4,72
351,26,Simulation,8,15,81
352,30,Strategy,19,9,41
353,40,Strategy,14,17,34
354,40,Action,7,19,144
355,35,Sports,18,17,124
356,47,Strategy,10,9,14
357,44,Action,3,8,133
358,37,Sports,3,4,112
359,24,Strategy,23,17,102
360,19,RPG,4,19,28
361,48,Sports,21,2,122
362,45,RPG,19,10,75
363,24,Simulation,8,1,126
364,33,Simulation,8,13,101
365,46,RPG,15,1,145
366,15,Sports,9,17,163
367,19,Action,2,15,173
368,18,Sports,22,8,49
369,30,Sports,9,5,52
370,38,RPG,6,2,77
371,30,RPG,2,11,174
372,16,Sports,12,4,24
373,42,Strategy,10,13,50
374,46,Sports,22,7,35
375,41,RPG,0,11,56
376,34,Sports,22,14,106
377,38,RPG,21,2,66
378,26,Strategy,10,17,123
379,49,RPG,10,14,156
380,47,RPG,9,7,128
381,47,RPG,7,8,111
382,26,Strategy,17,4,90
383,17,RPG,17,16,153
384,15,RPG,6,6,61
385,47,RPG,9,11,174
386,24,Simulation,3,6,53
387,43,Strategy,19,12,121
388,27,Simulation,6,12,145
389,26,Action,15,9,96
390,45,Simulation,21,5,32
391,16,Strategy,7,2,110
392,49,Action,16,1,91
393,37,Strategy,15,15,171
394,31,Strategy,11,18,51
395,40,Sports,19,16,128
396,22,RPG,17,10,51
397,43,Strategy,17,2,89
398,40,RPG,15,19,18
399,24,Simulation,5,2,123
400,40,Simulation,22,13,55
401,48,Sports,8,1,46
402,21,Sports,19,3,107
403,18,RPG,15,9,138
404,25,RPG,7,14,94
405,43,Simulation,21,13,106
406,39,Simulation,2,12,92
407,35,Sports,14,14,45
408,24,Strategy,15,18,169
409,23,Strategy,17,19,148
410,38,Action,13,1,176
411,49,Sports,4,18,48
412,49,RPG,14,15,139
413,32,Sports,17,6,168
414,46,Strategy,20,14,165
415,38,Strategy,17,8,108
416,37,Simulation,1,11,27
417,46,Strategy,13,2,52
418,26,Sports,16,14,24
436,28,Sports,4,0,103
437,45,Sports,8,13,119
438,33,Simulation,16,16,60
439,30,Action,21,4,103
440,19,Simulation,22,19,92
441,49,Action,5,4,58
442,26,Action,3,13,115
443,39,RPG,20,11,136
444,35,Simulation,16,10,74
445,37,Sports,10,0,83
446,30,Strategy,2,15,37
447,28,Strategy,9,14,139
448,45,RPG,0,13,41
449,19,RPG,21,5,106
450,49,RPG,18,4,50
451,37,RPG,12,9,154
452,43,Simulation,12,12,45
453,25,Action,3,13,54
454,32,Sports,21,10,10
455,26,Sports,5,14,62
456,23,Simulation,2,11,131
457,24,Sports,19,17,52
458,31,Strategy,15,3,175
459,21,Sports,3,17,49
460,27,Action,0,12,116
461,23,Sports,18,5,178
462,41,Action,21,11,144
463,16,RPG,15,9,107
464,19,Simulation,20,5,156
465,43,Strategy,16,17,158
466,33,Sports,23,2,149
467,22,Strategy,23,10,89
468,15,Sports,20,8,97
469,36,RPG,15,16,160
470,31,Action,1,6,131
471,21,Simulation,19,16,91
472,39,Simulation,17,4,21
473,18,Strategy,20,12,174
474,20,Action,22,12,33
475,45,Simulation,23,11,96
476,33,Strategy,2,0,160
477,41,Action,0,15,156
478,24,RPG,17,12,56
479,40,RPG,21,17,130
480,33,Strategy,13,4,68
481,17,RPG,1,1,58
482,27,Sports,19,19,88
483,42,Sports,4,7,57
484,34,Action,11,5,133
485,42,RPG,8,4,45
486,22,Simulation,11,1,35
487,15,Strategy,3,12,54
488,17,Simulation,16,5,50
489,27,Sports,9,17,78
490,42,RPG,9,0,44
491,39,Simulation,4,8,122
492,47,Strategy,14,11,172
493,20,Action,15,15,98
494,46,Action,1,9,107
495,35,Strategy,19,7,161
496,30,Sports,21,4,142
497,35,Strategy,23,3,28
498,25,Strategy,8,3,29
499,49,RPG,14,11,62
500,33,Simulation,2,7,112
501,34,Strategy,10,15,114
502,32,Strategy,20,15,18
503,28,Action,17,14,81
504,29,Simulation,12,12,158
505,45,Action,20,18,116
506,15,Sports,19,10,128
507,17,Action,21,19,79
508,30,Sports,4,4,163
509,37,Sports,5,5,95
510,25,Simulation,23,13,23
511,26,Sports,12,18,20
512,24,Strategy,15,4,115
513,46,Strategy,21,7,96
514,30,Action,13,10,116
515,22,Action,3,15,73
516,26,Simulation,9,7,126
517,38,Sports,12,15,67
518,42,Strategy,11,13,117
519,22,Action,23,0,34
520,42,RPG,5,9,75
521,40,Simulation,18,1,123
522,22,Sports,0,9,25
523,42,Simulation,8,13,103
524,42,Sports,2,15,29
525,41,Sports,13,4,150
526,31,Simulation,6,11,100
527,23,Action,14,19,159
528,47,Action,14,16,83
529,34,Sports,12,9,85
530,27,Strategy,20,6,87
531,42,Sports,10,11,121
532,43,RPG,18,2,177
533,27,Action,10,0,18
534,49,Simulation,22,2,138
535,20,Sports,3,16,35
536,32,Action,17,8,147
537,19,Action,1,0,75
538,39,Sports,3,18,161
539,16,Sports,12,14,77
540,24,Action,10,17,86
541,44,RPG,23,18,96
542,19,Simulation,0,10,178
543,47,Sports,14,7,166
544,15,Sports,7,16,71
545,32,Strategy,11,19,121
546,46,Sports,13,10,160
547,25,RPG,12,17,81
548,35,RPG,23,14,45
549,40,Sports,23,9,36
550,39,Simulation,12,3,179
551,36,Simulation,9,11,119
552,41,Sports,17,17,88
553,27,Sports,12,19,171
554,47,RPG,17,12,73
555,48,Strategy,9,17,106
556,49,Sports,11,17,21
557,15,Simulation,1,17,109
558,35,Sports,15,7,161
559,20,Action,19,1,18
560,42,RPG,4,10,165
561,31,RPG,22,1,104
562,19,Strategy,23,7,97
563,45,Simulation,13,12,55
564,19,Sports,1,15,40
565,17,Strategy,19,7,153
566,37,Simulation,11,1,85
567,24,RPG,20,19,103
568,24,Action,19,5,136
569,33,Sports,14,12,76
570,31,Simulation,0,3,39
571,35,Simulation,14,12,178
572,28,Sports,18,3,156
573,23,RPG,15,12,64
574,15,Strategy,15,16,69
575,27,Sports,18,7,164
576,18,Simulation,12,4,61
577,15,RPG,18,6,150
578,46,Sports,5,1,165
579,48,Strategy,9,3,138
580,42,RPG,15,2,121
581,45,Action,3,7,155
582,22,Action,18,4,73
583,40,Strategy,14,0,34
584,48,Sports,17,18,16
585,17,RPG,20,15,50
586,26,Simulation,23,16,24
587,15,Strategy,6,8,139
588,19,Simulation,19,10,168
589,44,Action,8,5,94
590,44,Sports,11,4,70
591,31,Strategy,14,14,63
592,37,Simulation,5,6,32
593,29,Action,5,12,12
594,35,Strategy,14,10,61
595,28,Simulation,16,6,75
596,16,Sports,22,10,83
597,25,Strategy,13,17,91
598,48,Action,14,9,162
599,48,Strategy,9,16,114
600,32,Strategy,18,16,68
601,44,Sports,17,12,41
602,29,Strategy,4,11,25
603,41,Action,9,16,31
604,48,Strategy,3,10,140
605,47,RPG,2,6,174
606,38,Simulation,22,8,164
607,29,Simulation,15,4,113
608,44,RPG,21,6,81
609,31,Strategy,13,0,159
610,19,Sports,6,6,54
611,43,RPG,6,1,85
612,18,RPG,5,5,67
613,24,Simulation,7,17,84
614,31,Simulation,4,8,114
615,24,Simulation,3,17,176
616,31,Strategy,21,8,111
617,34,Simulation,13,5,171
618,38,RPG,5,19,158
619,19,Action,13,9,97
620,48,Sports,5,6,154
621,20,Strategy,16,15,95
622,16,Strategy,21,0,132
623,27,Simulation,3,15,77
624,25,Strategy,13,3,135
625,37,Action,8,19,119
626,30,RPG,19,19,65
627,45,RPG,1,10,75
628,25,Strategy,16,13,34
629,30,Simulation,15,17,176
630,22,Strategy,18,5,84
631,18,Strategy,13,7,63
632,18,Sports,10,17,124
633,39,Sports,6,5,126
634,17,RPG,21,9,43
635,46,Simulation,21,16,81
636,17,RPG,11,0,129
637,41,Strategy,21,10,69
638,43,RPG,0,17,32
639,46,Sports,20,16,67
640,33,Action,19,5,125
641,35,Action,19,8,58
642,19,Strategy,15,15,158
643,32,Strategy,13,10,158
644,42,Strategy,20,0,143
645,36,RPG,18,0,107
646,35,RPG,22,0,131
647,20,Sports,19,16,177
648,15,RPG,7,3,145
649,19,Sports,3,10,118
650,26,Action,3,18,93
651,40,RPG,20,6,50
652,48,Sports,17,8,38
653,28,Strategy,23,6,120
654,40,Action,21,2,107
655,41,Sports,22,15,114
656,23,Sports,16,11,173
657,40,Sports,6,2,170
658,36,Action,11,15,100
659,44,Simulation,0,17,94
660,31,RPG,15,4,52
661,40,Action,5,15,47
662,15,Strategy,22,15,43
663,22,Action,8,15,95
664,49,Strategy,11,10,77
665,29,Action,10,18,109
666,36,Strategy,11,19,95
667,28,Sports,21,13,149
668,40,Simulation,12,19,55
669,42,RPG,15,2,117
670,37,Simulation,17,17,58
671,28,Action,18,16,13
672,38,RPG,3,18,143
673,16,Simulation,1,15,99
674,40,RPG,8,16,101
675,28,Sports,2,3,175
676,21,Simulation,17,4,174
677,17,RPG,20,10,83
678,37,RPG,14,12,169
679,32,RPG,8,11,140
680,49,RPG,7,2,127
681,29,Strategy,12,17,83
682,39,Strategy,21,11,67
683,42,Strategy,3,9,71
684,24,Sports,19,0,36
685,31,Sports,5,18,159
686,36,Simulation,5,8,127
687,40,Strategy,4,1,68
688,39,Simulation,3,13,43
689,31,RPG,1,7,168
690,27,Action,21,9,11
691,34,RPG,2,18,105
692,39,Simulation,5,18,175
693,18,Action,18,9,114
694,24,Sports,2,7,162
695,17,Action,4,0,161
696,32,RPG,5,7,154
697,36,Simulation,15,8,145
698,48,Strategy,18,1,136
699,22,RPG,16,1,136
700,33,Simulation,12,14,29
701,20,RPG,23,10,74
702,40,Action,16,9,129
703,48,Sports,6,16,111
704,20,Action,20,5,131
705,47,Strategy,12,4,50
706,36,Simulation,19,8,120
707,35,Action,0,12,78
708,20,Simulation,18,2,169
709,20,RPG,14,14,25
710,18,Action,17,3,25
711,44,Action,17,11,159
712,25,Strategy,3,5,118
713,44,Action,19,3,67
714,45,Sports,0,14,147
715,38,Simulation,10,16,91
716,23,RPG,6,11,43
717,17,Sports,14,9,24
718,45,Sports,17,9,37
719,38,Action,21,16,99
720,45,Sports,1,16,15
721,20,RPG,13,0,12
722,16,Sports,8,2,161
723,34,Sports,6,16,68
724,42,Action,1,4,81
725,25,Simulation,5,19,160
726,18,Simulation,11,0,10
727,29,Strategy,0,0,70
728,20,Simulation,14,1,12
729,44,Sports,2,8,157
730,16,Strategy,13,12,99
731,29,Strategy,9,7,132
732,25,Action,18,18,111
733,22,Strategy,10,4,74
734,40,Action,22,5,157
735,19,RPG,7,1,22
736,20,Strategy,13,7,105
737,40,Action,17,3,140
738,18,RPG,5,0,122
739,33,RPG,0,16,53
740,34,Action,18,8,81
741,47,Strategy,7,8,16
742,34,RPG,3,12,131
743,26,Simulation,14,8,148
744,15,Simulation,8,1,135
745,40,Strategy,6,11,154
746,28,RPG,16,6,25
747,25,Action,23,17,77
748,27,Strategy,12,10,33
749,17,Simulation,18,0,47
750,47,RPG,20,1,124
751,20,Simulation,11,10,126
752,24,Sports,12,7,130
753,19,Sports,17,3,120
754,37,Action,22,7,164
755,24,Action,19,13,127
756,16,Action,18,3,124
757,27,RPG,18,13,22
758,16,Action,11,6,56
759,34,Simulation,20,17,158
760,15,Strategy,8,0,161
761,23,Sports,14,18,177
762,31,Action,3,10,101
763,23,Action,15,3,172
764,25,Strategy,18,19,113
765,29,Strategy,9,19,167
766,38,Action,12,13,49
767,49,Strategy,0,15,34
768,44,Action,21,12,23
769,45,Sports,19,2,175
770,19,Simulation,17,15,41
771,28,RPG,1,8,30
772,25,Strategy,5,10,88
773,23,Sports,23,16,152
774,48,Sports,11,5,20
775,26,Strategy,21,4,83
776,49,Sports,16,3,133
777,49,Action,19,14,131
778,15,RPG,14,14,67
779,36,Action,4,18,165
780,43,Strategy,12,15,55
781,22,Action,20,7,126
782,25,Strategy,21,3,96
783,28,Strategy,16,6,82
784,44,Sports,16,0,85
785,49,Strategy,15,19,18
786,35,Simulation,13,14,24
787,19,Simulation,21,10,24
788,33,Sports,18,11,76
789,28,Strategy,17,11,153
790,40,RPG,9,5,95
791,18,RPG,11,5,49
792,39,RPG,10,14,106
793,39,Action,23,17,10
794,32,RPG,22,15,73
795,22,Strategy,2,5,125
796,28,Sports,11,13,46
797,46,Sports,6,14,93
798,47,RPG,7,12,148
799,37,Action,0,16,120
800,29,Strategy,3,17,161
801,47,Strategy,14,19,143
802,39,RPG,15,7,148
803,31,Action,22,7,115
804,47,Action,19,3,138
805,16,Strategy,6,15,60
806,28,Action,12,8,42
807,20,RPG,4,3,131
808,20,Sports,11,17,141
809,17,Sports,18,14,96
810,21,Action,18,3,33
811,22,Sports,18,1,135
812,29,Sports,4,4,39
813,43,RPG,10,19,142
814,47,Strategy,16,1,127
815,44,RPG,2,15,148
816,41,Action,8,17,55
817,43,Action,14,5,48
818,47,Strategy,12,18,52
819,41,Sports,1,10,123
820,47,Action,17,2,69
821,18,Strategy,8,7,25
822,36,Strategy,22,0,72
823,16,RPG,6,16,19
824,24,Strategy,23,1,46
825,19,RPG,21,7,169
826,24,Simulation,17,0,59
827,47,Action,5,9,34
828,27,Sports,16,3,15
829,45,Action,3,5,29
830,38,Action,14,17,166
831,29,Sports,16,8,98
832,43,Sports,7,16,55
833,22,RPG,23,12,61
834,19,Sports,2,15,174
835,43,RPG,14,6,161
836,18,RPG,17,8,113
837,26,RPG,3,5,17
838,16,Strategy,21,14,177
839,41,Action,13,3,171
840,45,Action,23,8,85
841,40,Strategy,11,17,134
842,41,Sports,22,15,29
843,19,RPG,13,17,89
844,34,Strategy,5,2,122
845,25,RPG,10,17,30
846,24,Simulation,10,17,89
847,20,Action,21,0,166
848,22,Action,12,9,55
849,37,Action,19,11,170
850,40,RPG,19,6,145
851,26,Sports,12,11,93
852,40,Action,2,18,80
853,27,Action,19,16,176
854,32,RPG,22,16,49
855,39,Sports,23,5,38
856,47,Action,6,15,118
857,26,RPG,3,0,119
858,18,Action,3,15,133
859,19,Strategy,16,15,160
860,22,Strategy,22,13,114
861,42,Action,1,1,68
862,45,RPG,11,10,17
863,23,RPG,17,16,178
864,43,RPG,19,14,149
865,28,Sports,10,11,16
866,36,Simulation,0,4,172
867,25,RPG,3,9,44
868,37,RPG,1,12,58
869,15,Action,12,14,177
870,35,RPG,17,0,82
871,40,Simulation,17,14,19
872,37,Action,7,14,126
873,15,RPG,5,14,97
874,29,Simulation,11,16,169
875,35,Action,11,18,55
876,23,Sports,20,3,136
877,23,Sports,20,2,137
878,24,Action,3,7,63
879,40,Simulation,1,8,65
880,49,Simulation,10,14,94
881,39,Strategy,13,0,132
882,40,Strategy,22,14,38
883,25,RPG,21,13,173
884,16,Strategy,19,0,14
885,21,Action,22,13,23
886,32,Simulation,16,5,111
887,41,Simulation,3,15,17
888,48,Action,21,12,145
889,41,Sports,16,19,71
890,31,Strategy,18,19,103
891,38,Action,13,17,134
892,39,RPG,19,16,62
893,21,Sports,2,17,85
894,20,Action,16,9,93
895,38,Strategy,10,8,165
896,47,Sports,4,14,176
897,43,RPG,9,19,118
898,36,Sports,20,19,78
899,40,Simulation,5,10,40
900,42,Action,15,9,87
901,35,Sports,18,7,136
902,21,Action,7,7,116
903,31,Action,6,8,32
904,34,Action,16,13,159
905,34,Simulation,2,0,141
906,36,Sports,13,3,160
907,42,Simulation,21,15,143
908,21,Strategy,14,16,63
909,15,Sports,9,18,121
910,46,Sports,18,4,14
911,27,Simulation,8,8,118
912,44,Sports,6,2,105
913,37,Simulation,2,11,42
914,33,Action,20,15,92
915,46,Strategy,15,16,10
916,44,Action,11,1,32
917,43,RPG,15,14,62
918,43,RPG,3,18,16
919,44,Action,0,10,91
920,30,Simulation,19,14,95
921,33,RPG,21,13,87
922,32,RPG,2,9,36
923,15,Simulation,10,17,109
924,28,Sports,21,7,139
925,16,Simulation,19,2,28
926,42,Strategy,9,17,84
927,44,Sports,2,17,25
928,18,Sports,7,3,156
929,15,Strategy,19,16,56
930,22,Action,5,1,101
931,43,Sports,22,13,47
932,17,Sports,8,5,112
933,46,Action,20,11,72
934,24,Strategy,10,1,36
935,24,Sports,12,12,98
936,33,Action,19,11,59
937,48,Strategy,7,10,145
938,47,Strategy,0,7,66
939,37,RPG,4,10,52
940,42,Sports,9,2,22
941,46,Sports,22,7,170
942,21,Action,22,16,43
943,43,Action,23,18,87
944,22,RPG,21,13,10
945,15,Action,18,17,52
946,17,RPG,0,11,51
947,38,Simulation,10,12,66
948,37,RPG,23,2,110
949,22,Simulation,2,9,95
950,17,RPG,17,14,84
951,47,Simulation,17,12,114
952,42,Sports,5,5,29
953,22,RPG,22,4,58
954,48,Strategy,5,8,61
955,49,RPG,22,13,146
956,46,Action,14,7,149
957,38,Sports,0,13,98
958,28,Sports,14,0,161
959,46,Action,13,7,91
960,30,Action,15,8,99
961,18,Simulation,12,17,160
962,35,Sports,14,15,159
963,28,Simulation,14,0,125
964,45,Sports,19,2,139
965,32,Strategy,15,19,143
966,21,Sports,6,0,122
967,24,Sports,1,11,121
968,21,Strategy,9,19,11
969,47,Strategy,15,15,111
970,37,Strategy,5,9,75
971,35,Strategy,23,12,48
972,33,RPG,23,3,27
973,33,RPG,10,17,28
974,43,Sports,23,18,87
975,32,RPG,17,6,32
976,16,Strategy,15,18,75
977,15,Strategy,18,6,42
978,19,RPG,16,6,43
979,34,RPG,19,13,46
980,25,RPG,0,4,96
981,16,RPG,21,14,172
982,17,Action,5,4,35
983,37,Action,13,18,70
984,26,Sports,20,4,25
985,34,RPG,7,13,26
986,19,Action,23,0,69
987,44,Action,4,7,174
988,23,Sports,5,15,31
989,48,Action,12,19,153
990,49,RPG,1,10,37
991,36,Sports,0,11,100
992,38,Sports,15,11,105
993,31,Sports,11,6,121
994,24,Strategy,17,17,103
995,44,Action,22,7,146
996,37,Sports,22,18,136
997,46,Action,17,6,16
